Study,PMID,Health_Outcome,Menopause_Age_Definition,Risk_Metric_Type,Risk_Value,CI_Lower,CI_Upper,Sample_Size,Study_Design,Confounders_Adjusted,Quality_Score,Source,CI_Width,Significant,Sensitivity,Specificity
"Li et al., 2013",23746671,All-Cause Mortality,<45 vs 50-54 years,RR,1.33,1.1,1.62,11212.0,Cohort,"Age, smoking, BMI, education, income",9,"Muka et al., 2016 - Figure 3A",0.52,True,,
"Cooper et al., 1998",9820257,All-Cause Mortality,<45 vs ≥50 years,RR,1.27,1.0,1.62,3191.0,Cohort,Age only,6,"Muka et al., 2016 - Figure 3A",0.6200000000000001,False,,
"Hong et al., 2007",17138380,All-Cause Mortality,<45 vs 45-49 years,RR,1.19,1.04,1.36,2658.0,Cohort,"Age, smoking, education, BMI",8,"Muka et al., 2016 - Figure 3A",0.3200000000000001,True,,
"Ossewaarde et al., 2005",16024991,All-Cause Mortality,<45 vs 50-54 years,RR,1.18,1.06,1.32,12134.0,Cohort,"Age, smoking, BMI, hypertension, diabetes",9,"Muka et al., 2016 - Figure 3A",0.26,True,,
"Amagai et al., 2006",16951541,All-Cause Mortality,<45 vs 45-49 years,RR,1.16,0.74,1.83,4683.0,Cohort,"Age, smoking, BMI",7,"Muka et al., 2016 - Figure 3A",1.09,False,,
"Jacobsen et al., 1999",10207785,All-Cause Mortality,<45 vs 49-51 years,RR,1.09,0.97,1.22,6182.0,Cohort,"Age, smoking, education",8,"Muka et al., 2016 - Figure 3A",0.25,False,,
"Mondul et al., 2005",16269584,All-Cause Mortality,<45 vs 50-54 years,RR,1.04,1.0,1.08,68154.0,Cohort,"Age, smoking, BMI, race, education",9,"Muka et al., 2016 - Figure 3A",0.08000000000000007,False,,
"Tom et al., 2012",22165823,All-Cause Mortality,<45 vs 50-54 years,RR,0.88,0.73,1.06,1684.0,Cohort,"Age, smoking, BMI, education",7,"Muka et al., 2016 - Figure 3A",0.3300000000000001,False,,
"Hong et al., 2007",17138380,CHD Mortality,<45 vs 45-49 years,RR,3.52,1.19,10.43,2658.0,Cohort,"Age, smoking, education, BMI",8,"Muka et al., 2016 - Figure 3C",9.24,True,,
"Jacobsen et al., 1999",10207785,CHD Mortality,<45 vs 49-51 years,RR,1.35,1.0,1.82,6182.0,Cohort,"Age, smoking, education",8,"Muka et al., 2016 - Figure 3C",0.8200000000000001,False,,
"Ossewaarde et al., 2005",16024991,CHD Mortality,<45 vs 50-54 years,RR,1.19,0.97,1.47,12134.0,Cohort,"Age, smoking, BMI, hypertension, diabetes",9,"Muka et al., 2016 - Figure 3C",0.5,False,,
